keys,en,fr_CA,
catstorm,Cat Storm,Tempete de Chat,
main_menu_title,[center]Cat Storm[/center],[center]Tempete de Chat[/center],
Play,Play,Jouer,
How To Play,How to Play,Comment Jouer,
Settings,Settings,Parametres,
Credits,Credits,Credits,
how_to_play,[center]How to Play[/center],[center]Comment Jouer[/center],
how_to_play_text,"[center]Your cat has come to you and wants attention. But being a cat, its hard for him to properly communicate what he wants. How long can you pet your cat before you bleed to death?[/center]",[center]Ton chat veux se faire flatter. Mais yé pas capable de te dire comme il faut ce qu'il veut. Essaie de le flatter le plus longtemps possible sans perdre tout ton sang.[/center],
how_to_play_text_2,[center]Use your hand (the mouse on your desk) and pet the cat (left mouse click on the cat and move your hand around). Petting ther cat in his desired place will make him happy.[/center],[center]Utilise ta main (la souris sur ton bureau) et flatte le chat (click gauche de la souris sur le chat et bouge ta main). Flatter le chat a l'endoir ou il veut a ce moment la le rend heureux.[/center],
how_to_play_text_3,"[center]Watch out, if the cat is overstimulated it will fight back. And will even attack you in a gaint storm.[/center]","[center]Fait attention, si le chat est trop stimuler, il va attacker, et peu meme attacker en grosse tempete.[/center]",
Main Menu,Main Menu,Menu Principale,
Basic,Basic,La Base,
Return,Retour,Retourne,
final_time,Elapsed Petting Time,Ton temps de flattage,
resize_title,Warning,Attention!,
resize_text,Do you wish to keep this change? The screen will revert at the end of the timer.,La réslution d'écran a changer. Veux-tu garder le changement? L'écran va reset apres le timer.,
changes_title,"Warning, unsaved changes","Attention, changements!",
changes_text,Do you wish to keep the changes?,Est-ce que tu veux les garder?,
epilepsie_warning,Warning,Attention,
epilepsie_warning_text,[center]A very small percentage of individuals may experience epileptic seizures or blackouts when exposed to certain light patterns or flashing lights. Exposure to certain patterns or backgrounds on a television screen or when playing video games may trigger epileptic seizures or blackouts in these individuals.[/center],[center]Un nombre limité de personnes peuvent être sujettes à des crises d'épilepsie (convulsions) ou à des pertes de connaissance lorsqu'elles sont exposées à certains motifs lumineux ou à des lumières clignotantes. L'exposition à ces motifs ou à certaines images d'arrière-plan sur un écran de télévision ou pendant un jeu peut déclencher des crises d'épilepsie ou des convulsions chez ces personnes.[/center],
en,English,Anglais,
fr_CA,French Quebecois,La bonne langue,
cats_warning,MEOW,MIAOU,
cats_warning_text,"No cats were harmed during making process of this game. Ask my cat, she can vouche for me.","Aucun chat n'a été blessé durant la fabrication de ce jeu. Demandez a ma chatte, elle me connait.",
Master,Master,Maitre,
Music,Music,Musique,
SFX,SFX,Effets,
Display,Display,Affichage,
Window Size,Window Size,Resolution,
Language,Language,Langue,
Back,Back,Retour,
Fullscreen,Full Screen,Plein Ecran,
Windowed,Windowed,Fenetre,
Borderless,Borderless,Sans bordures,
cancel,Cancel,Canceller,
confirm,Confirm,Confirmer,
loading,LOADING,CHARGEMENT,
settings_menu,[center]Settings[/center],[center]Parametre[/center],
